# packages in environment at /home/dev/.conda/envs/karabo:
#
# Name                    Version                   Build  Channel
_libgcc_mutex             0.1                        main
_openmp_mutex             5.1                       1_gnu
absl-py                   2.3.1              pyhd8ed1ab_0    conda-forge
alsa-lib                  1.2.14               hb9d3cd8_0    conda-forge
anyio                     4.10.0             pyhe01879c_0    conda-forge
aom                       3.9.1                hac33072_0    conda-forge
aratmospy                 1.0.0           py310h410524c_1    i4ds
argon2-cffi               25.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      25.1.0          py310h7c4b9e2_0    conda-forge
arrow                     1.3.0              pyhd8ed1ab_1    conda-forge
asciitree                 0.3.3                      py_2    conda-forge
asdf                      4.4.0              pyhd8ed1ab_0    conda-forge
asdf-astropy              0.6.1              pyhd8ed1ab_0    conda-forge
asdf-coordinates-schemas  0.4.0              pyhd8ed1ab_0    conda-forge
asdf-standard             1.4.0              pyhd8ed1ab_0    conda-forge
asdf-transform-schemas    0.6.0              pyhd8ed1ab_0    conda-forge
asdf-wcs-schemas          0.5.0              pyhd8ed1ab_0    conda-forge
astroml                   1.0.2.post1        pyhd8ed1ab_2    conda-forge
astroplan                 0.10.1             pyhd8ed1ab_2    conda-forge
astropy                   5.1.1           py310hde88566_3    conda-forge
astropy-base              5.1.1                hd2eee37_0    conda-forge
astropy-healpix           1.1.2           py310hf462985_0    conda-forge
asttokens                 3.0.0              pyhd8ed1ab_1    conda-forge
astunparse                1.6.3              pyhd8ed1ab_3    conda-forge
async-lru                 2.0.5              pyh29332c3_0    conda-forge
attrs                     25.3.0             pyh71513ae_0    conda-forge
babel                     2.17.0             pyhd8ed1ab_0    conda-forge
bdsf                      1.10.2          py310h66aa11f_1002    i4ds
beautifulsoup4            4.13.5             pyha770c72_0    conda-forge
bleach                    6.2.0              pyh29332c3_4    conda-forge
bleach-with-css           6.2.0                h82add2a_4    conda-forge
bluebild                  0.1.0           py310h3fd9d12_4    i4ds
bokeh                     2.4.3              pyhd8ed1ab_3    conda-forge
boost                     1.82.0               h17c5347_6    conda-forge
bottleneck                1.5.0           py310hf462985_0    conda-forge
brotli                    1.1.0                hb03c661_4    conda-forge
brotli-bin                1.1.0                hb03c661_4    conda-forge
brotli-python             1.1.0           py310hea6c23e_4    conda-forge
bzip2                     1.0.8                h5eee18b_6
c-ares                    1.34.5               hb9d3cd8_0    conda-forge
ca-certificates           2025.8.3             hbd8a1cb_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
